Crash Number,Date Time,Day Of Week,Object 1,Object 2,Street Number,Steet Name,Cross Street,Location,Latitude,Longitude,Coordinates
28593,01/07/2013 02:49:00 PM,Monday,Auto,Pedestrian,,Walden St,Richdale Ave," Walden St & Richdale Ave Cambridge, MA",42.388942,-71.125,
25010,10/29/2010 08:10:00 PM,Friday,Auto,Pedestrian,99,MOUNT AUBURN ST,,"99 MOUNT AUBURN ST Cambridge, MA",42.372852,-71.120617,
33096,12/01/2014 05:15:00 PM,Monday,Auto,Pedestrian,,Third St,Thorndike St,"Third St & Thorndike St Cambridge, MA",42.369648,-71.080162,
32870,11/01/2014 07:00:00 PM,Saturday,Auto,Pedestrian,,IRVING ST,KIRKLAND ST,"IRVING ST & KIRKLAND ST Cambridge, MA",42.3773613,-71.1106415,
28666,01/30/2013 06:45:00 PM,Wednesday,Auto,Pedestrian,,GARDEN ST,Appian Way," GARDEN ST & Appian Way Cambridge, MA",42.375974,-71.120983,
24618,08/15/2010 03:00:00 PM,Sunday,Auto,Pedestrian,,Cambridge St,Columbia St," Cambridge St & Columbia St Cambridge, MA",42.372912,-71.094512,
23729,01/26/2010 06:59:00 PM,Tuesday,Auto,Pedestrian,,Binney St,Broadway," Binney St & Broadway Cambridge, MA",42.364796,-71.089418,
23811,02/18/2010 09:52:00 AM,Thursday,Auto,Pedestrian,,Brattle St,Appian Way," Brattle St & Appian Way Cambridge, MA",42.374856,-71.122345,
23756,01/26/2010 11:39:00 AM,Tuesday,Truck,Pedestrian,,Western Ave,Massachusetts Ave," Western Ave & Massachusetts Ave Cambridge, MA",42.365574,-71.103991,
23955,03/21/2010 09:11:00 AM,Sunday,Auto,Pedestrian,1692,Massachusetts Ave,,"1692 Massachusetts Ave Cambridge, MA",42.382829,-71.119857,
23904,03/12/2010 06:17:00 PM,Friday,Auto,Pedestrian,5,Chauncy St,,"5 Chauncy St Cambridge, MA",42.380196,-71.120859,
24055,04/14/2010 12:55:00 PM,Wednesday,Auto,Pedestrian,16,GARDEN ST,,"16 GARDEN ST Cambridge, MA",42.377301,-71.12322,
24273,06/01/2010 02:15:00 PM,Tuesday,Auto,Pedestrian,147,ELM ST,Hampshire St,"147 ELM ST Cambridge, MA",42.370467,-71.096968,
23702,01/18/2010 10:21:00 AM,Monday,Auto,Pedestrian,,Massachusetts Ave,Sidney St," Massachusetts Ave & Sidney St Cambridge, MA",42.36295,-71.09958,
24356,06/17/2010 02:00:00 PM,Thursday,Auto,Pedestrian,5,Third St,,"5 Third St Cambridge, MA",42.372262,-71.079743,
23749,02/01/2010 02:25:00 PM,Monday,Auto,Pedestrian,,Broadway,Galileo Galilei Way," Broadway & Galileo Galilei Way Cambridge, MA",42.364812,-71.089386,
24539,07/29/2010 02:45:00 PM,Thursday,Auto,Pedestrian,,Broadway,PROSPECT ST," Broadway & PROSPECT ST Cambridge, MA",42.369317,-71.101021,
24405,07/01/2010 03:40:00 PM,Thursday,Auto,Pedestrian,30,JFK St,,"30 JFK St Cambridge, MA",42.372808,-71.11981,
24596,08/11/2010 07:03:00 PM,Wednesday,Auto,Pedestrian,,Cambridge St,LAMBERT ST," Cambridge St & LAMBERT ST Cambridge, MA",42.371947,-71.087073,
24013,04/06/2010 07:50:00 PM,Tuesday,Auto,Pedestrian,247,PROSPECT ST,,"247 PROSPECT ST Cambridge, MA",42.371492,-71.099917,
23996,04/02/2010 09:59:00 AM,Friday,Auto,Pedestrian,620,Massachusetts Ave,ESSEX ST,"620 Massachusetts Ave Cambridge, MA",42.365024,-71.103402,
23983,03/30/2010 06:34:00 AM,Tuesday,Auto,Pedestrian,428,Massachusetts Ave,,"428 Massachusetts Ave Cambridge, MA",42.363434,-71.100726,
23965,03/25/2010 05:35:00 PM,Thursday,Pedestrian,Bicycle,28,Dewolfe St,,"28 Dewolfe St Cambridge, MA",42.369371,-71.116741,
23809,02/17/2010 10:12:00 AM,Wednesday,Auto,Pedestrian,,MAIN ST,Osborn St," MAIN ST & Osborn St Cambridge, MA",42.363102,-71.095278,
23687,01/13/2010 08:29:00 AM,Wednesday,Taxi,Pedestrian,,PEARL ST,Franklin St," PEARL ST & Franklin St Cambridge, MA",42.363651,-71.103735,
24325,06/10/2010 07:50:00 AM,Thursday,Auto,Pedestrian,,Cambridge St,Windsor St," Cambridge St & Windsor St Cambridge, MA",42.37275,-71.093288,
24501,07/20/2010 09:45:00 AM,Tuesday,Auto,Pedestrian,77,Massachusetts Ave,Vassar St,"77 Massachusetts Ave Cambridge, MA",42.359128,-71.093339,
23907,03/14/2010 06:45:00 PM,Sunday,Auto,Pedestrian,,Bishop Allen Dr,PROSPECT ST," Bishop Allen Dr & PROSPECT ST Cambridge, MA",42.366343,-71.10316,
23892,03/08/2010 07:28:00 AM,Monday,Auto,Pedestrian,,Broadway,PROSPECT ST," Broadway & PROSPECT ST Cambridge, MA",42.369317,-71.101021,
31774,02/11/2010 04:54:00 PM,Tuesday,Auto,Pedestrian,,Broadway,PRESCOTT ST," Broadway & PRESCOTT ST Cambridge, MA",42.374368,-71.113638,
23762,02/04/2010 03:49:00 PM,Thursday,Auto,Pedestrian,,Windsor St,Cambridge St," Windsor St & Cambridge St Cambridge, MA",42.37275,-71.093288,
24089,04/22/2010 05:45:00 PM,Thursday,Auto,Pedestrian,90,Massachusetts Ave,,"90 Massachusetts Ave Cambridge, MA",42.359477,-71.094056,
